codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,
21015050,103,2019-06-21T22:50:00.000,2.6,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21206930,103,2010-11-08T09:50:00.000,3.6,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21015070,103,2012-05-02T09:00:00.000,2.4,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21195170,103,2011-01-26T09:00:00.000,3.4,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21255501,103,2019-05-11T13:40:00.000,0.9045125,LA TRINIDAD  - AUT,TOLIMA,LIBANO,ALTO MAGDALENA,4.895,-75.04,Velocidad Viento (10 min),m/s,
21205791,103,2015-01-30T16:00:00.000,2.6,APTO EL DORADO - TX GPRS,BOGOTA D.C.,BOGOTA, D.C,ALTO MAGDALENA,4.706,-74.151,Velocidad Viento (10 min),m/s
21185090,103,2017-10-21T11:40:00.000,1.4,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21015502,103,2018-10-17T04:05:00.000,3.670.664,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21215180,103,2015-10-06T02:10:00.000,3.3,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21206930,103,2011-10-09T23:20:00.000,2.1,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21206790,103,2016-07-28T23:20:00.000,0.5,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21185501,103,2018-07-23T15:45:00.000,0.008466427,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266.666.667,-7.528.305.556,Velocidad Viento (10 min),m/s,
21085501,103,2017-06-30T16:50:00.000,21.384,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762.997.222,-7.561.144.167,Velocidad Viento (10 min),m/s,
21015501,103,2018-05-31T03:45:00.000,1.735.021,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777.527.778,-7.619.163.889,Velocidad Viento (10 min),m/s,
21015070,103,2018-11-22T05:30:00.000,0.4,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21215190,103,2010-11-08T11:40:00.000,8.1,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21206930,103,2014-04-18T23:00:00.000,4.3,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21205519,103,2018-10-31T05:10:00.000,0.92,SAN FORTUNATO  - AUT,CUNDINAMARCA,SIBATA,ALTO MAGDALENA,4.452,-74.272,Velocidad Viento (10 min),m/s,
21015030,103,2019-06-27T11:30:00.000,2.2,PARQUE ARQUEOLOGICO - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.888.472.222,-7.629.497.222,Velocidad Viento (10 min),m/s,
21165502,103,2017-05-26T17:10:00.000,1.6,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955.641.667,-7.459.178.611,Velocidad Viento (10 min),m/s,
21206950,103,2013-05-17T19:10:00.000,2.5,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21205511,103,2018-12-21T08:00:00.000,2.073,EL OKAL  - AUT,CUNDINAMARCA,VILLAGAMEZA,ALTO MAGDALENA,5.001,-73.733,Velocidad Viento (10 min),m/s,
21115010,103,2006-02-13T16:40:00.000,5.4,DESIERTO TATACOA,HUILA,VILLAVIEJA,ALTO MAGDALENA,3.234,-75.168,Velocidad Viento (10 min),m/s,
21195170,103,2009-01-22T20:00:00.000,1.4,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21015050,103,2017-06-18T13:40:00.000,1.3,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21115170,103,2006-09-23T08:40:00.000,4.8,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21045501,103,2018-05-19T10:45:00.000,2.228.504,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041.941.667,-7.601.191.667,Velocidad Viento (10 min),m/s,
21206960,103,2009-06-23T15:20:00.000,2,IDEAM BOGOTA  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.6,-7.406.666.667,Velocidad Viento (10 min),m/s
21255170,103,2012-06-19T00:50:00.000,0.5,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21206930,103,2006-01-28T22:30:00.000,3.2,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21015060,103,2013-02-14T00:30:00.000,0.6,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21195190,103,2017-11-24T00:50:00.000,0.5,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21195160,103,2007-10-01T01:20:00.000,0.8,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21055070,103,2017-09-12T20:10:00.000,0.4,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21165501,103,2016-06-22T07:05:00.000,4.5,DOLORES  - AUT,TOLIMA,DOLORES,ALTO MAGDALENA,3.537.155.556,-7.482.982.778,Velocidad Viento (10 min),m/s,
21206990,103,2019-03-29T18:10:00.000,0.3,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21206920,103,2014-12-22T07:30:00.000,3.6,VILLA TERESA - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.35,-74.15,Velocidad Viento (10 min),m/s
21195190,103,2013-11-03T14:30:00.000,2,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21215150,103,2015-12-12T05:30:00.000,6.3,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOATEGUI,ALTO MAGDALENA,4.670.777.778,-7.532.777.778,Velocidad Viento (10 min),m/s,
